xx,xxx,xx,0,xx
217,CODO PVC 1 1/2 x 45          ,PZ,3.50,13017
218,CODO PVC 2 x 45  ,PZ,9.00,13018
219,CODO PVC 3 x 45 ,PZ,9.00,13019
220,CODO PVC 4 x 45  ,PZ,26.00,13020
221,CODO PVC S LAT 4 ,PZ,37.00,13021
222,CODO PVC S/LAT. 4 ECO.         ,PZ,15.00,13022
223,CODO PVC S/TRAS. 4,PZ,28.00,13023
224,CODO PVC 2 SAL. 4,PZ,22.01,13024
225,COPLE PVC 1 1/2 ,PZ,3.00,13025
226,COPLE PVC 2    ,PZ,8.00,13026
227,COPLE PVC 3 in  ,PZ,10.00,13027
228,COPLE PVC 4    ,PZ,17.01,13028
229,COLADERA PVC MULTIPLE 4        ,PZ,39.00,13029
230,COLADERA PVC INTEGRAL 4        ,PZ,19.00,13030
231,REDUCCION BUSHIN PVC 2 a 1 1/2     ,PZ,9.00,13031
232,REDUCCIÓN BUSHIN PVC 3 - 2      ,PZ,9.00,13032
233,REDUCCIÓN BUSHIN PVC 4 - 2      ,PZ,9.00,13033
234,REDUCCION BUSHIN PVC 4 - 3       ,PZ,29.00,13034
235,TAPÓN PVC 1 1/2 ,PZ,4.50,13035
236,TAPON PVC 2    ,PZ,6.00,13036
237,TAPÓN PVC 3   ,PZ,8.00,13037
238,TAPÓN PVC 4   ,PZ,14.00,13038
239,TEE PVC REFZ. 1 1/2          ,PZ,6.00,13039
240,TEE PVC REFZ. 2 ,PZ,11.99,13040
241,TEE PVC REFZ. 3 ,PZ,17.01,13041
242,TEE PVC REFZ. 4 ,PZ,27.00,13042
243,TEE PVC REDCC. 3 -,PZ,10.00,13043
244,TEE PVC REDCC. 4-2          ,PZ,19.00,13044
245,YEE REFZ. 1 1/2 ,PZ,5.00,13045
246,YEE REFZ. 2   ,PZ,10.00,13046
247,YEE REFZ. 3   ,PZ,18.00,13047
248,YEE PVC REFZ. 4  ,PZ,62.00,13048
249,YEE PVC REDCC. 4-2          ,PZ,26.00,13049
250,TORNILLO P/FIJAR TAZA WC JGO      ,PZ,3.50,13050
251,COLADERA UNIVERSAL PVC 4        ,PZ,28.00,13051
252,ROLLO CINTA P/DUCTO GRIS        ,PZ,49.00,13052
253,CESPOL PVC 4 C/1 salida 2       ,PZ,19.00,13053
254,COPLE PVC INSERCCION 3/8        ,PZ,10.00,13055
255,COPLE PVC INSERCCION 1/2        ,PZ,9.00,13056
256,COPLE PVC INSERCCION 3/4        ,PZ,11.99,13057
